restaurant,item_name,item_description,calories,fat,carbs,protein,location
Starbucks,"Iced Peppermint Mocha, Venti","Iced Peppermint Mocha, Venti, 2% Milk, 6 Pumps Peppermint Syrup, 6 Pumps Mocha Sauce, Dark Chocolate Curls, Whipped Cream, Ice, 3 Signature Espresso Roast Shot, Choice of Adding Extra, Light, Regular or None: Apple Brown Sugar, Brown Sugar Syrup, Caramel Syrup, Chestnut Praline Syrup, Cinnamon Dolce Syrup, Hazelnut Syrup, Irish Cream Syrup, Peppermint Syrup, Raspberry Syrup, Sugar Cookie Syrup, Toasted Vanilla Syrup, Toffee Nut Syrup, Vanilla Syrup, Sugar Free Vanilla Syrup, Caramel Brulee Sauce, Mocha Sauce, Dark Caramel Sauce, Pumpkin Sauce, Toasted White Chocolate Mocha Sauce, White Chocolate Mocha Sauce, Choice of Regular, Light, Extra, or No: Barista Cocoa Powder, Caramel Brulee Topping, Chestnut Praline Topping, Chocolate Curls Topping, Holiday Sugar Sparkles, Pumpkin Spice Topping, Red & Green Sprinkle Topping, Cinnamon Dolce Sprinkles, Caramel Drizzle, Mocha Drizzle, Spiced Apple Drizzle, Chocolate Cream Cold Foam, Irish Cream Cold Foam, Peppermint Chocolate Cream Cold Foam, Pumpkin Cream Cold Foam, Salted Caramel Cream Cold Foam, Vanilla Sweet Cream Cold Foam, Cinnamon Powder, Whipped Cream, Chocolate Malt Powder, Vanilla Bean Powder, Sugar, Sugar in The Raw, Honey, Splenda, Stevia in the Raw, Classic Syrup, Liquid Cane Sugar, Honey Blend, Chai, Choice of Milk: 2% Milk, Almondmilk, Coconutmilk, Half & Half, Heavy Cream, Nonfat Milk, Oatmilk, Soymilk, Whole Milk, Vanilla Sweet Cream, Add Espresso Shot: Signature Espresso Roast, Blonde Espresso Roast, Decaf Espresso Roast, 1/3 Decaf Espresso Roast, 1/2 Decaf Espresso Roast, 2/3 Decaf Espresso Roast, Ristretto or Long Shot, Line the Cup w/ Caramel or Mocha Sauce, Cold Coffees",560,20,83,12,"Gainesville, Florida"
The Cheesecake Factory,Factory Nachos with Spicy Chicken - Serves 2-4,"Factory Nachos with Spicy Chicken - Serves 2-4, Appetizers",2950,211,180,83,"Gainesville, Florida"
The Cheesecake Factory,Factory Nachos - Serves 2-4,"Factory Nachos - Serves 2-4, Appetizers",2670,192,173,63,"Gainesville, Florida"
The Cheesecake Factory,Pasta Carbonara with Chicken,"Pasta Carbonara with Chicken, Gluten Free Pasta",2300,158,152,65,"Gainesville, Florida"
The Cheesecake Factory,Louisiana Chicken Pasta,"Louisiana Chicken Pasta, Pasta",2270,132,176,98,"Gainesville, Florida"
The Cheesecake Factory,Breakfast Burrito,"Breakfast Burrito, Eggs & Omelettes",2260,151,138,89,"Gainesville, Florida"
The Cheesecake Factory,Cacio e Pepe Pasta with Chicken,"Cacio e Pepe Pasta with Chicken, Pasta, Special Menu",2250,148,145,87,"Gainesville, Florida"
The Cheesecake Factory,Pasta Carbonara with Chicken,"Pasta Carbonara with Chicken, Pasta",2210,147,141,78,"Gainesville, Florida"
The Cheesecake Factory,Bruléed French Toast with Bacon,"Bruléed French Toast with Bacon, Saturday & Sunday Brunch",2180,131,208,45,"Gainesville, Florida"
The Cheesecake Factory,Fettuccini Alfredo with Chicken,"Fettuccini Alfredo with Chicken, Pasta",2180,143,145,79,"Gainesville, Florida"
The Cheesecake Factory,Bistro Shrimp Pasta,"Bistro Shrimp Pasta, Pasta",2170,147,155,58,"Gainesville, Florida"
